generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
89000,Scarus_vetula,NA,15.7408,0.245043,0.0447024,1.37719,0
89000,Scarus_arabicus,NA,15.1628,0.703793,-0.357195,2.77376,0
89000,Scarus_collana,NA,12.5084,0.485023,-0.00919693,1.72792,0
89000,Chlorurus_atrilunula,Scarus_altipinnis,8.74879,3.03758,-0.330234,0.177706,0
90000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0892409,0.0395772,0.134649,0
90000,Chlorurus_atrilunula,Scarus_altipinnis,8.98407,1.80113,-0.268086,0.204819,0
91000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.396237,-0.0908899,0.161323,0
91000,Chlorurus_sordidus_IO,NA,14.8225,1.18256,-0.251882,0.152433,0
91000,Chlorurus_atrilunula,Scarus_altipinnis,8.34334,1.75309,-0.237392,0.0345658,0
92000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.185345,-0.230891,0.107085,0
92000,Scarus_compressus,Scarus_ghobban_EP,15.3003,1.5222,-0.30182,1.38738,0
92000,Chlorurus_atrilunula,Scarus_altipinnis,8.69407,1.79779,-0.264555,0.218328,0
93000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.4017,-0.197021,0.0145856,0
93000,Chlorurus_atrilunula,Scarus_altipinnis,7.89226,1.30398,-0.2013,0.0529569,0
94000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.416967,-0.10953,0.377628,0
94000,Chlorurus_atrilunula,Scarus_altipinnis,8.41727,2.65679,-0.316618,0.0514308,0
95000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.166255,-0.102343,0.251394,0
95000,Chlorurus_gibbus,Chlorurus_microrhinos_G,14.0312,0.734192,-0.0827962,0.259037,0
95000,Chlorurus_atrilunula,Scarus_altipinnis,8.96686,1.09927,-0.173037,0.00422495,0
96000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.183975,-0.0237403,0.0424864,0
96000,Scarus_taeniopterus,Scarus_zelindae,13.7738,1.36392,-0.442324,0.506782,0
96000,Scarus_chameleon,Scarus_globiceps_GBR,12.2527,0.55502,0.218374,0.383385,0
96000,Chlorurus_atrilunula,Scarus_altipinnis,8.98319,1.58742,-0.208415,0.143805,0
97000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.169166,-0.0993027,0.144897,0
97000,Chlorurus_atrilunula,Scarus_altipinnis,8.76892,0.909293,-0.148825,0.0111914,0
98000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.257653,-0.11164,0.221356,0
98000,Chlorurus_capistratoides,NA,15.5384,0.156105,0.238202,0.358847,0
